null_margin,contract_margin,broadness_alpha,selection_threshold,null_prior,intent_prior_weight,use_pairwise,objective,constraints_pass,multi_contract_strict_e2e_dev,end_to_end_success_strict,indirect_end_to_end_success_strict,naturalistic_success,wrong_contract_false_trigger_rate,false_trigger_rate_including_contract_swap,target_action_completion_rate,conflict_safe_action_accuracy
0.0,0.0,0.0,0.25,0.0,1.0,False,1.2507952355735992,False,0.5930232558139535,0.627906976744186,0.39215686274509803,0.75,0.0,0.22580645161290322,0.4225352112676056,0.625
0.0,0.0,0.0,0.25,0.0,1.0,True,1.00867220481591,False,0.4476744186046512,0.5755813953488372,0.39215686274509803,0.75,0.0,0.3225806451612903,0.4225352112676056,0.625
0.0,0.0,0.0,0.25,0.1,0.5,False,1.4682144800906107,False,0.6627906976744186,0.6802325581395349,0.21568627450980393,0.9166666666666666,0.0,0.010752688172043012,0.2535211267605634,0.5
0.0,0.0,0.0,0.25,0.1,0.5,True,1.573920134445376,False,0.6569767441860465,0.7093023255813954,0.3137254901960784,0.9166666666666666,0.0,0.010752688172043012,0.3380281690140845,0.625
0.0,0.0,0.0,0.25,0.1,1.0,False,1.475663952752894,False,0.6162790697674418,0.6918604651162791,0.39215686274509803,0.9166666666666666,0.0,0.10752688172043011,0.4225352112676056,0.625
0.0,0.0,0.0,0.25,0.1,1.0,True,1.2490447979641968,False,0.5697674418604651,0.6395348837209303,0.39215686274509803,0.75,0.0,0.20430107526881722,0.4225352112676056,0.625
0.0,0.0,0.75,0.15,0.0,0.5,False,1.7113947604548196,False,0.7034883720930233,0.7383720930232558,0.39215686274509803,0.9166666666666666,0.0,0.021505376344086023,0.43661971830985913,0.75
0.0,0.0,0.75,0.15,0.0,0.5,True,1.3036834576291132,False,0.5813953488372093,0.6627906976744186,0.39215686274509803,0.75,0.0,0.16129032258064516,0.4225352112676056,0.625
0.0,0.0,0.75,0.15,0.0,1.0,False,1.3132952355735992,False,0.5930232558139535,0.627906976744186,0.39215686274509803,0.75,0.0,0.22580645161290322,0.43661971830985913,0.75
0.0,0.0,0.75,0.15,0.0,1.0,True,1.0601225674065575,False,0.4883720930232558,0.5813953488372093,0.39215686274509803,0.75,0.0,0.3118279569892473,0.4225352112676056,0.625
0.0,0.0,0.75,0.15,0.1,0.5,False,1.7221474486268626,False,0.7034883720930233,0.7441860465116279,0.39215686274509803,0.9166666666666666,0.0,0.010752688172043012,0.43661971830985913,0.75
0.0,0.0,0.75,0.15,0.1,0.5,True,1.6023831325478428,False,0.6569767441860465,0.7383720930232558,0.39215686274509803,0.9166666666666666,0.0,0.021505376344086023,0.4225352112676056,0.625
0.0,0.0,0.75,0.15,0.1,1.0,False,1.5265360457761499,False,0.6046511627906976,0.6918604651162791,0.39215686274509803,0.9166666666666666,0.0,0.10752688172043011,0.43661971830985913,0.75
0.0,0.0,0.75,0.15,0.1,1.0,True,1.2597974861362398,False,0.5697674418604651,0.6453488372093024,0.39215686274509803,0.75,0.0,0.1935483870967742,0.4225352112676056,0.625
0.0,0.0,0.75,0.25,0.0,0.5,False,1.4682144800906107,False,0.6627906976744186,0.6802325581395349,0.21568627450980393,0.9166666666666666,0.0,0.010752688172043012,0.2535211267605634,0.5
0.0,0.0,0.75,0.25,0.0,0.5,True,1.4251954532750837,False,0.6453488372093024,0.6802325581395349,0.3137254901960784,0.75,0.0,0.06451612903225806,0.3380281690140845,0.625
0.0,0.0,0.75,0.25,0.0,1.0,False,1.429839996763897,False,0.686046511627907,0.6744186046511628,0.39215686274509803,0.75,0.0,0.13978494623655913,0.4225352112676056,0.625
0.0,0.0,0.75,0.25,0.0,1.0,True,1.0601225674065575,False,0.4883720930232558,0.5813953488372093,0.39215686274509803,0.75,0.0,0.3118279569892473,0.4225352112676056,0.625
0.0,0.0,0.75,0.25,0.1,0.5,False,1.4682144800906107,False,0.6627906976744186,0.6802325581395349,0.21568627450980393,0.9166666666666666,0.0,0.010752688172043012,0.2535211267605634,0.5
0.0,0.0,0.75,0.25,0.1,0.5,True,1.5855480414221201,False,0.6686046511627907,0.7093023255813954,0.3137254901960784,0.9166666666666666,0.0,0.010752688172043012,0.3380281690140845,0.625
0.0,0.0,0.75,0.25,0.1,1.0,False,1.6430808069664475,False,0.6976744186046512,0.7383720930232558,0.39215686274509803,0.9166666666666666,0.0,0.021505376344086023,0.4225352112676056,0.625
